	AreaShape_Center_X	AreaShape_Center_Y	ImageNumber	Intensity_MaxIntensityEdge_Costum	Intensity_UpperQuartileIntensity_Costum	AreaShape_Center_X_Orig	AreaShape_Center_Y_Orig	AreaShape_Center_Y_NoLocalAdjustment	AreaShape_Center_X_NoLocalAdjustment	ClosestHandENuclei	ClosestIPOXNuclei	N_Neighbors_1E-3
1508725	0.14721	0.81864	0.00000	0.55080	0.55080	3573.00000	15196.00000	0.81864	0.14721	0.00821	0.00887	4.00000	
1508726	0.14945	0.81858	0.00000	0.60575	0.57501	3609.00000	15195.00000	0.81858	0.14945	0.00481	0.00171	8.00000	
1508727	0.15318	0.81864	0.00000	0.54240	0.54240	3669.00000	15196.00000	0.81864	0.15318	0.00660	0.00205	8.00000	
1508728	0.16200	0.81858	0.00000	0.76972	0.71484	3811.00000	15195.00000	0.81858	0.16200	0.00553	0.00210	6.00000	
1508729	0.16523	0.81858	0.00000	0.72298	0.72298	3863.00000	15195.00000	0.81858	0.16523	0.00525	0.00275	9.00000	
1508730	0.16703	0.81864	0.00000	0.58713	0.54667	3892.00000	15196.00000	0.81864	0.16703	0.00821	0.00298	7.00000	
1508731	0.17156	0.81869	0.00000	0.62679	0.62679	3965.00000	15197.00000	0.81869	0.17156	0.00768	0.00453	7.00000	
1508732	0.17871	0.81858	0.00000	0.53795	0.53595	4080.00000	15195.00000	0.81858	0.17871	0.00884	0.00226	6.00000	
1508733	0.18169	0.81822	0.00000	0.59639	0.58289	4128.00000	15189.00000	0.81822	0.18169	0.01216	0.00592	1.00000	
1508734	0.18983	0.81852	0.00000	0.66803	0.66602	4259.00000	15194.00000	0.81852	0.18983	0.00840	0.00130	7.00000	
1508735	0.19330	0.81869	0.00000	0.52781	0.52781	4315.00000	15197.00000	0.81869	0.19330	0.00697	0.00736	9.00000	
1508736	0.19380	0.81869	0.00000	0.57536	0.54591	4323.00000	15197.00000	0.81869	0.19380	0.00771	0.00530	10.00000	
1508737	0.19641	0.81858	0.00000	0.86570	0.83913	4365.00000	15195.00000	0.81858	0.19641	0.00829	0.00252	7.00000	
1508738	0.19834	0.81887	0.00000	0.64045	0.59877	4396.00000	15200.00000	0.81887	0.19834	0.00754	0.00257	8.00000	
1508739	0.19896	0.81858	0.00000	0.64045	0.59877	4406.00000	15195.00000	0.81858	0.19896	0.00660	0.01165	7.00000	
1508914	0.14367	0.81858	0.00000	0.40163	0.40163	3516.00000	15195.00000	0.81858	0.14367	0.00727	0.00661	3.00000	
1508915	0.15020	0.81887	0.00000	0.69533	0.67280	3621.00000	15200.00000	0.81887	0.15020	0.00821	0.00029	7.00000	
1508916	0.15355	0.81869	0.00000	0.78156	0.71199	3675.00000	15197.00000	0.81869	0.15355	0.00660	0.00339	6.00000	
1508917	0.15939	0.81869	0.00000	0.85372	0.79763	3769.00000	15197.00000	0.81869	0.15939	0.01210	0.00169	5.00000	
1508918	0.18007	0.81869	0.00000	0.60041	0.55244	4102.00000	15197.00000	0.81869	0.18007	0.00901	0.00410	5.00000	
1509074	0.14610	0.81881	0.00000	0.65822	0.64739	3555.00000	15199.00000	0.81881	0.14610	0.00653	0.00355	4.00000	
1509075	0.14821	0.81887	0.00000	0.85863	0.68370	3589.00000	15200.00000	0.81887	0.14821	0.00727	0.01240	7.00000	
1509076	0.15094	0.81864	0.00000	0.88634	0.83352	3633.00000	15196.00000	0.81864	0.15094	0.00893	0.00225	5.00000	
1509077	0.17504	0.81846	0.00000	0.53741	0.53315	4021.00000	15193.00000	0.81846	0.17504	0.00870	0.00254	3.00000	
1509078	0.18349	0.81875	0.00000	0.57199	0.54759	4157.00000	15198.00000	0.81875	0.18349	0.00598	0.00305	6.00000	
1509079	0.19448	0.81887	0.00000	0.62293	0.62293	4334.00000	15200.00000	0.81887	0.19448	0.00553	0.00774	8.00000	
1509258	0.14870	0.81875	0.00000	0.85863	0.68370	3597.00000	15198.00000	0.81875	0.14870	0.00893	0.00426	9.00000	
1509259	0.16057	0.81869	0.00000	0.70466	0.49509	3788.00000	15197.00000	0.81869	0.16057	0.00553	0.00120	9.00000	
1509260	0.16604	0.81875	0.00000	0.64096	0.60955	3876.00000	15198.00000	0.81875	0.16604	0.00525	0.00121	13.00000	
1509261	0.16635	0.81875	0.00000	0.97975	0.94530	3881.00000	15198.00000	0.81875	0.16635	0.00543	0.00173	10.00000	
1509262	0.16995	0.81875	0.00000	0.65335	0.59593	3939.00000	15198.00000	0.81875	0.16995	0.00660	0.00386	10.00000	
1509263	0.17206	0.81864	0.00000	0.76089	0.69078	3973.00000	15196.00000	0.81864	0.17206	0.00513	0.00130	6.00000	
1509264	0.17274	0.81858	0.00000	0.59548	0.58579	3984.00000	15195.00000	0.81858	0.17274	0.00788	0.00121	7.00000	
1509265	0.17361	0.81875	0.00000	0.46826	0.46826	3998.00000	15198.00000	0.81875	0.17361	0.00653	0.00372	8.00000	
1509266	0.17740	0.81875	0.00000	0.45807	0.45807	4059.00000	15198.00000	0.81875	0.17740	0.00923	0.00561	6.00000	
1509267	0.18914	0.81869	0.00000	0.78469	0.71310	4248.00000	15197.00000	0.81869	0.18914	0.00865	0.00145	6.00000	
1509268	0.19256	0.81852	0.00000	0.43738	0.43738	4303.00000	15194.00000	0.81852	0.19256	0.00326	0.00725	10.00000	
1509420	0.15212	0.81869	0.00000	0.45960	0.45960	3652.00000	15197.00000	0.81869	0.15212	0.00681	0.00843	6.00000	
1509421	0.15392	0.81875	0.00000	0.64996	0.59472	3681.00000	15198.00000	0.81875	0.15392	0.00660	0.00107	8.00000	
1509422	0.16026	0.81875	0.00000	0.33530	0.33530	3783.00000	15198.00000	0.81875	0.16026	0.00524	0.00200	9.00000	
1509423	0.16175	0.81893	0.00000	0.76438	0.72277	3807.00000	15201.00000	0.81893	0.16175	0.00727	0.00098	8.00000	
